💾 Step 1: Backup topik_nama lama...
✅ Backup 0 hadits → backup-topik-2026-05-21.json

🚀 Mode: GASS (full update)
📋 33 topik | 5518 hadits | 552 batches

📦 80/552 | ✏️ 242 changed | ✅ 557 same | ⏭ 1 skip
📦 81/552 | ✏️ 250 changed | ✅ 559 same | ⏭ 1 skip
📦 82/552 | ✏️ 252 changed | ✅ 567 same | ⏭ 1 skip
📦 83/552 | ✏️ 254 changed | ✅ 575 same | ⏭ 1 skip
📦 84/552 | ✏️ 261 changed | ✅ 578 same | ⏭ 1 skip
📦 85/552 | ✏️ 267 changed | ✅ 582 same | ⏭ 1 skip
📦 86/552 | ✏️ 270 changed | ✅ 589 same | ⏭ 1 skip
📦 87/552 | ✏️ 275 changed | ✅ 594 same | ⏭ 1 skip
📦 88/552 | ✏️ 278 changed | ✅ 601 same | ⏭ 1 skip
📦 89/552 | ✏️ 280 changed | ✅ 609 same | ⏭ 1 skip
📦 90/552 | ✏️ 283 changed | ✅ 616 same | ⏭ 1 skip
📦 91/552 | ✏️ 287 changed | ✅ 622 same | ⏭ 1 skip
📦 92/552 | ✏️ 290 changed | ✅ 629 same | ⏭ 1 skip
📦 93/552 | ✏️ 292 changed | ✅ 637 same | ⏭ 1 skip
📦 94/552 | ✏️ 294 changed | ✅ 645 same | ⏭ 1 skip
📦 95/552 | ✏️ 299 changed | ✅ 650 same | ⏭ 1 skip
📦 96/552 | ✏️ 303 changed | ✅ 656 same | ⏭ 1 skip
📦 97/552 | ✏️ 306 changed | ✅ 663 same | ⏭ 1 skip
📦 98/552 | ✏️ 310 changed | ✅ 669 same | ⏭ 1 skip
📦 99/552 | ✏️ 312 changed | ✅ 676 same | ⏭ 2 skip
📦 100/552 | ✏️ 313 changed | ✅ 685 same | ⏭ 2 skip
📦 101/552 | ✏️ 316 changed | ✅ 692 same | ⏭ 2 skip
📦 102/552 | ✏️ 319 changed | ✅ 699 same | ⏭ 2 skip
📦 103/552 | ✏️ 324 changed | ✅ 704 same | ⏭ 2 skip
📦 104/552 | ✏️ 326 changed | ✅ 712 same | ⏭ 2 skip
📦 105/552 | ✏️ 330 changed | ✅ 718 same | ⏭ 2 skip
📦 106/552 | ✏️ 332 changed | ✅ 726 same | ⏭ 2 skip
📦 107/552 | ✏️ 336 changed | ✅ 732 same | ⏭ 2 skip
📦 108/552 | ✏️ 338 changed | ✅ 740 same | ⏭ 2 skip
📦 109/552 | ✏️ 341 changed | ✅ 747 same | ⏭ 2 skip
📦 110/552 | ✏️ 344 changed | ✅ 754 same | ⏭ 2 skip
📦 111/552 | ✏️ 350 changed | ✅ 758 same | ⏭ 2 skip
📦 112/552 | ✏️ 351 changed | ✅ 767 same | ⏭ 2 skip
📦 113/552 | ✏️ 357 changed | ✅ 771 same | ⏭ 2 skip
📦 114/552 | ✏️ 360 changed | ✅ 778 same | ⏭ 2 skip
📦 115/552 | ✏️ 365 changed | ✅ 783 same | ⏭ 2 skip
📦 116/552 | ✏️ 371 changed | ✅ 787 same | ⏭ 2 skip
📦 117/552 | ✏️ 373 changed | ✅ 795 same | ⏭ 2 skip
📦 118/552 | ✏️ 378 changed | ✅ 800 same | ⏭ 2 skip
📦 119/552 | ✏️ 380 changed | ✅ 808 same | ⏭ 2 skip
📦 120/552 | ✏️ 385 changed | ✅ 813 same | ⏭ 2 skip
📦 121/552 | ✏️ 387 changed | ✅ 821 same | ⏭ 2 skip
📦 122/552 | ✏️ 390 changed | ✅ 828 same | ⏭ 2 skip
📦 123/552 | ✏️ 392 changed | ✅ 836 same | ⏭ 2 skip
📦 124/552 | ✏️ 397 changed | ✅ 841 same | ⏭ 2 skip
📦 125/552 | ✏️ 400 changed | ✅ 848 same | ⏭ 2 skip
📦 126/552 | ✏️ 406 changed | ✅ 852 same | ⏭ 2 skip
📦 127/552 | ✏️ 410 changed | ✅ 858 same | ⏭ 2 skip
📦 128/552 | ✏️ 414 changed | ✅ 864 same | ⏭ 2 skip
📦 129/552 | ✏️ 416 changed | ✅ 872 same | ⏭ 2 skip
📦 130/552 | ✏️ 421 changed | ✅ 877 same | ⏭ 2 skip
📦 131/552 | ✏️ 425 changed | ✅ 883 same | ⏭ 2 skip
📦 132/552 | ✏️ 430 changed | ✅ 888 same | ⏭ 2 skip
📦 133/552 | ✏️ 434 changed | ✅ 894 same | ⏭ 2 skip
📦 134/552 | ✏️ 437 changed | ✅ 901 same | ⏭ 2 skip
📦 135/552 | ✏️ 441 changed | ✅ 907 same | ⏭ 2 skip
📦 136/552 | ✏️ 445 changed | ✅ 913 same | ⏭ 2 skip
📦 137/552 | ✏️ 447 changed | ✅ 921 same | ⏭ 2 skip
📦 138/552 | ✏️ 452 changed | ✅ 926 same | ⏭ 2 skip
📦 139/552 | ✏️ 457 changed | ✅ 931 same | ⏭ 2 skip
📦 140/552 | ✏️ 460 changed | ✅ 938 same | ⏭ 2 skip
📦 141/552 | ✏️ 465 changed | ✅ 943 same | ⏭ 2 skip
📦 142/552 | ✏️ 469 changed | ✅ 949 same | ⏭ 2 skip
📦 143/552 | ✏️ 475 changed | ✅ 953 same | ⏭ 2 skip
📦 144/552 | ✏️ 479 changed | ✅ 959 same | ⏭ 2 skip
📦 145/552 | ✏️ 484 changed | ✅ 964 same | ⏭ 2 skip
📦 146/552 | ✏️ 488 changed | ✅ 970 same | ⏭ 2 skip
📦 147/552 | ✏️ 490 changed | ✅ 978 same | ⏭ 2 skip
📦 148/552 | ✏️ 493 changed | ✅ 985 same | ⏭ 2 skip
📦 149/552 | ✏️ 497 changed | ✅ 991 same | ⏭ 2 skip
📦 150/552 | ✏️ 499 changed | ✅ 999 same | ⏭ 2 skip
📦 151/552 | ✏️ 502 changed | ✅ 1006 same | ⏭ 2 skip
📦 152/552 | ✏️ 504 changed | ✅ 1014 same | ⏭ 2 skip
📦 153/552 | ✏️ 508 changed | ✅ 1019 same | ⏭ 3 skip
📦 154/552 | ✏️ 511 changed | ✅ 1026 same | ⏭ 3 skip
📦 155/552 | ✏️ 516 changed | ✅ 1031 same | ⏭ 3 skip
📦 156/552 | ✏️ 522 changed | ✅ 1035 same | ⏭ 3 skip
📦 157/552 | ✏️ 526 changed | ✅ 1041 same | ⏭ 3 skip
📦 158/552 | ✏️ 533 changed | ✅ 1044 same | ⏭ 3 skip
📦 159/552 | ✏️ 536 changed | ✅ 1048 same | ⏭ 6 skip
📦 160/552 | ✏️ 539 changed | ✅ 1055 same | ⏭ 6 skip
📦 161/552 | ✏️ 544 changed | ✅ 1060 same | ⏭ 6 skip
📦 162/552 | ✏️ 549 changed | ✅ 1065 same | ⏭ 6 skip
📦 163/552 | ✏️ 552 changed | ✅ 1072 same | ⏭ 6 skip
📦 164/552 | ✏️ 556 changed | ✅ 1078 same | ⏭ 6 skip
📦 165/552 | ✏️ 558 changed | ✅ 1086 same | ⏭ 6 skip
📦 166/552 | ✏️ 561 changed | ✅ 1093 same | ⏭ 6 skip
📦 167/552 | ✏️ 563 changed | ✅ 1101 same | ⏭ 6 skip
📦 168/552 | ✏️ 564 changed | ✅ 1110 same | ⏭ 6 skip
